HoldingsTicker
AMZN
CMCSA
DTV
NWSA
PCLN
SBUX
WYNN
SPLS
BBBY
NFLX
LINTA
VMED
MAT
SHLD
ROST
ORLY
DLTR
CTRP
GRMN
EXPE
APOL
URBN
COST
WFMI
AMGN
TEVA
GILD
ESRX
CELG
BIIB
ISRG
VRTX
MYL
CERN
LIFE
ILMN
ALXN
HSIC
CEPH
WCRX
XRAY
QGEN
PCAR
CHRW
FSLR
EXPD
JOYG
FAST
SRCL
AAPL
MSFT
ORCL
GOOG
INTC
CSCO
QCOM
EBAY
BIDU
DELL
ADP
CTSH
RIMM
YHOO
AMAT
NTAP
BRCM
ADBE
INTU
CTXS
ALTR
SYMC
ATVI
CA
PAYX
SNDK
NVDA
CHKP
MU
ADSK
MRVL
XLNX
FISV
BMC
FFIV
MXIM
STX
LLTC
MCHP
KLAC
INFY
ERTS
VRSN
AKAM
LRCX
FLIR
FLEX
SIAL
VOD
MICC
NIHD
